sample-id	experiment	genotype	genotype_2	genotype_3
9_1_1	1_grm	grm1	grm1	grm1_f1
9_1_2	1_grm	grm1	grm1	grm1_f1
9_1_3	1_grm	grm1	grm1	grm1_f1
9_1_4	1_grm	grm1	grm1	grm1_f1
9_1_5	1_grm	grm1	grm1	grm1_f1
9_2_1	1_grm	grm1	grm1	grm1_f2
9_2_2	1_grm	grm1	grm1	grm1_f2
9_2_3	1_grm	grm1	grm1	grm1_f2
9_2_4	1_grm	grm1	grm1	grm1_f2
9_2_5	1_grm	grm1	grm1	grm1_f2
9_3_1	1_grm	grm1	grm1	grm1_f3
9_3_2	1_grm	grm1	grm1	grm1_f3
9_3_3	1_grm	grm1	grm1	grm1_f3
9_3_4	1_grm	grm1	grm1	grm1_f3
9_3_5	1_grm	grm1	grm1	grm1_f3
9_4_1	1_grm	grm1	grm1	grm1_f4
9_4_2	1_grm	grm1	grm1	grm1_f4
9_4_3	1_grm	grm1	grm1	grm1_f4
9_4_4	1_grm	grm1	grm1	grm1_f4
9_4_5	1_grm	grm1	grm1	grm1_f4
b_1_1	1_grm	bbc	bbc	bbc_f1
b_1_2	1_grm	bbc	bbc	bbc_f1
b_1_3	1_grm	bbc	bbc	bbc_f1
b_1_4	1_grm	bbc	bbc	bbc_f1
b_2_1	1_grm	bbc	bbc	bbc_f2
b_2_2	1_grm	bbc	bbc	bbc_f2
b_2_3	1_grm	bbc	bbc	bbc_f2
b_2_4	1_grm	bbc	bbc	bbc_f2
b_3_1	1_grm	bbc	bbc	bbc_f3
b_3_2	1_grm	bbc	bbc	bbc_f3
b_3_3	1_grm	bbc	bbc	bbc_f3
b_3_4	1_grm	bbc	bbc	bbc_f3
b_4_1	1_grm	bbc	bbc	bbc_f4
b_4_2	1_grm	bbc	bbc	bbc_f4
b_4_3	1_grm	bbc	bbc	bbc_f4
b_4_4	1_grm	bbc	bbc	bbc_f4
C_1_1	2_tip	Col	Col_t	Col_f1
C_1_2	2_tip	Col	Col_t	Col_f1
C_1_3	2_tip	Col	Col_t	Col_f1
C_1_4	2_tip	Col	Col_t	Col_f1
C_1_5	1_grm	Col	Col_g	Col_f1
C_1_6	1_grm	Col	Col_g	Col_f1
C_1_7	1_grm	Col	Col_g	Col_f1
C_1_8	1_grm	Col	Col_g	Col_f1
C_2_1	2_tip	Col	Col_t	Col_f2
C_2_2	2_tip	Col	Col_t	Col_f2
C_2_3	2_tip	Col	Col_t	Col_f2
C_2_4	2_tip	Col	Col_t	Col_f2
C_2_5	1_grm	Col	Col_g	Col_f2
C_2_6	1_grm	Col	Col_g	Col_f2
C_2_7	1_grm	Col	Col_g	Col_f2
C_2_8	1_grm	Col	Col_g	Col_f2
C_3_1	2_tip	Col	Col_t	Col_f3
C_3_2	2_tip	Col	Col_t	Col_f3
C_3_3	2_tip	Col	Col_t	Col_f3
C_3_4	2_tip	Col	Col_t	Col_f3
C_3_5	1_grm	Col	Col_g	Col_f3
C_3_6	1_grm	Col	Col_g	Col_f3
C_3_7	1_grm	Col	Col_g	Col_f3
C_3_8	1_grm	Col	Col_g	Col_f3
C_4_1	2_tip	Col	Col_t	Col_f4
C_4_2	2_tip	Col	Col_t	Col_f4
C_4_3	2_tip	Col	Col_t	Col_f4
C_4_4	2_tip	Col	Col_t	Col_f4
C_4_5	1_grm	Col	Col_g	Col_f4
C_4_6	1_grm	Col	Col_g	Col_f4
C_4_7	1_grm	Col	Col_g	Col_f4
s_1_1	2_tip	snc1	snc1	snc1_f1
s_1_2	2_tip	snc1	snc1	snc1_f1
s_1_3	2_tip	snc1	snc1	snc1_f1
s_1_4	2_tip	snc1	snc1	snc1_f1
s_1_5	2_tip	snc1	snc1	snc1_f1
s_2_1	2_tip	snc1	snc1	snc1_f2
s_2_2	2_tip	snc1	snc1	snc1_f2
s_2_3	2_tip	snc1	snc1	snc1_f2
s_2_4	2_tip	snc1	snc1	snc1_f2
s_2_5	2_tip	snc1	snc1	snc1_f2
s_3_1	2_tip	snc1	snc1	snc1_f3
s_3_2	2_tip	snc1	snc1	snc1_f3
s_3_3	2_tip	snc1	snc1	snc1_f3
s_3_4	2_tip	snc1	snc1	snc1_f3
s_3_5	2_tip	snc1	snc1	snc1_f3
s_4_1	2_tip	snc1	snc1	snc1_f4
s_4_2	2_tip	snc1	snc1	snc1_f4
s_4_3	2_tip	snc1	snc1	snc1_f4
s_4_4	2_tip	snc1	snc1	snc1_f4
s_4_5	2_tip	snc1	snc1	snc1_f4
t_1_1	2_tip	tip1	tip1	tip1_f1
t_1_2	2_tip	tip1	tip1	tip1_f1
t_1_3	2_tip	tip1	tip1	tip1_f1
t_1_4	2_tip	tip1	tip1	tip1_f1
t_1_5	2_tip	tip1	tip1	tip1_f1
t_2_1	2_tip	tip1	tip1	tip1_f2
t_2_2	2_tip	tip1	tip1	tip1_f2
t_2_3	2_tip	tip1	tip1	tip1_f2
t_2_4	2_tip	tip1	tip1	tip1_f2
t_2_5	2_tip	tip1	tip1	tip1_f2
t_3_1	2_tip	tip1	tip1	tip1_f3
t_3_2	2_tip	tip1	tip1	tip1_f3
t_3_3	2_tip	tip1	tip1	tip1_f3
t_3_4	2_tip	tip1	tip1	tip1_f3
t_3_5	2_tip	tip1	tip1	tip1_f3
t_4_1	2_tip	tip1	tip1	tip1_f4
t_4_2	2_tip	tip1	tip1	tip1_f4
t_4_3	2_tip	tip1	tip1	tip1_f4
t_4_4	2_tip	tip1	tip1	tip1_f4
t_4_5	2_tip	tip1	tip1	tip1_f4
